file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,125,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,18
style.css,126,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,127,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,128,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,3
style.css,129,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,15
style.css,130,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,131,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,132,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,3
style.css,133,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,15
style.css,134,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,135,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,136,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,11
style.css,137,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,15
style.css,138,css,ed3500de,danielbirman28,2025-01-17,17:10:18,-08:00,2025-01-17T17:10:18-08:00,0,0
style.css,139,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,0
style.css,140,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,0
style.css,141,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,10
style.css,142,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,15
style.css,143,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,26
style.css,144,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,18
style.css,145,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,0
style.css,146,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,0
style.css,147,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,9
style.css,148,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,16
style.css,149,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,18
style.css,150,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,0
style.css,151,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,0
style.css,152,css,15e16a91,danielbirman28,2025-01-17,17:19:54,-08:00,2025-01-17T17:19:54-08:00,0,9
